Language,_id,rater_answer,a_domain,a_register,b_domain,b_register,difficulty,familiarity,question_,section,wordphrase_a,wordphrase_a_translation,wordphrase_b,wordphrase_b_translation,_unit_id,_created_at,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,Answer,Alternate Answer,Score,Answers,Grouping,Market
Chinese-Traditional,5868361389,a_is_more_specific_than_b,geography,neutral,geography,technical,medium,unfamiliar,1,Close Match,平原,plain,地形,terrain,2914023476,2020-12-23 23:49:39,2020-12-23 23:49:06,False,cf_internal,1.0,45711188,TWN,3.0,Taipei,114.24.30.200,a_is_more_specific_than_b,0,1,a_is_more_specific_than_b;0,Pilot 3A,ZH-ZH
Chinese-Traditional,5868398402,a_is_more_specific_than_b,geography,neutral,geography,technical,medium,unfamiliar,1,Close Match,平原,plain,地形,terrain,2914023476,2020-12-24 01:23:58,2020-12-24 01:23:41,False,cf_internal,0.9563,46197780,TWN,3.0,Taipei,49.216.59.121,a_is_more_specific_than_b,0,1,a_is_more_specific_than_b;0,Pilot 3A,ZH-ZH
Chinese-Traditional,5868443199,a_is_more_specific_than_b,geography,neutral,geography,technical,medium,unfamiliar,1,Close Match,平原,plain,地形,terrain,2914023476,2020-12-24 03:07:35,2020-12-24 03:07:23,False,cf_internal,0.8917,46102414,AUS,2.0,Kellyville,101.179.219.27,a_is_more_specific_than_b,0,1,a_is_more_specific_than_b;0,GT,ZH-ZH
Chinese-Traditional,5868459848,a_is_more_specific_than_b,geography,neutral,geography,technical,medium,unfamiliar,1,Close Match,平原,plain,地形,terrain,2914023476,2020-12-24 03:41:20,2020-12-24 03:40:43,False,cf_internal,0.9328000000000001,45492267,HKG,0.0,Central District,123.203.180.92,a_is_more_specific_than_b,0,1,a_is_more_specific_than_b;0,Pilot 3A,ZH-ZH
Chinese-Traditional,5868511758,a_is_more_specific_than_b,geography,neutral,geography,technical,medium,unfamiliar,1,Close Match,平原,plain,地形,terrain,2914023476,2020-12-24 05:18:10,2020-12-24 05:17:41,False,cf_internal,0.8945000000000001,45516158,TWN,5.0,Changhua,36.232.252.39,a_is_more_specific_than_b,0,1,a_is_more_specific_than_b;0,Pilot 3A,ZH-ZH
Chinese-Traditional,5868537788,a_is_more_specific_than_b,geography,neutral,geography,technical,medium,unfamiliar,1,Close Match,平原,plain,地形,terrain,2914023476,2020-12-24 05:55:24,2020-12-24 05:54:12,False,cf_internal,0.8859,45493055,TWN,8.0,Hsinchu,36.228.121.9,a_is_more_specific_than_b,0,1,a_is_more_specific_than_b;0,Pilot 3A,ZH-ZH
Chinese-Traditional,5868943167,a_is_more_specific_than_b,geography,neutral,geography,technical,medium,unfamiliar,1,Close Match,平原,plain,地形,terrain,2914023476,2020-12-24 08:43:16,2020-12-24 08:42:15,False,cf_internal,0.8535,46305142,TWN,21.0,Tainan,59.125.214.139,a_is_more_specific_than_b,0,1,a_is_more_specific_than_b;0,Pilot 3A,ZH-ZH
Chinese-Traditional,5868972014,a_is_more_specific_than_b,geography,neutral,geography,technical,medium,unfamiliar,1,Close Match,平原,plain,地形,terrain,2914023476,2020-12-24 08:49:58,2020-12-24 08:49:35,False,cf_internal,0.9049,45492033,HKG,0.0,Central District,103.244.3.61,a_is_more_specific_than_b,0,1,a_is_more_specific_than_b;0,Pilot 3A,ZH-ZH
Chinese-Traditional,5869804233,a_is_more_specific_than_b,geography,neutral,geography,technical,medium,unfamiliar,1,Close Match,平原,plain,地形,terrain,2914023476,2020-12-24 15:07:47,2020-12-24 15:06:33,False,cf_internal,0.908,46304816,TWN,2.0,Kaohsiung,49.159.76.14,a_is_more_specific_than_b,0,1,a_is_more_specific_than_b;0,Pilot 3A,ZH-ZH
Chinese-Traditional,5870044842,a_is_more_specific_than_b,geography,neutral,geography,technical,medium,unfamiliar,1,Close Match,平原,plain,地形,terrain,2914023476,2020-12-25 05:11:32,2020-12-25 05:11:20,False,cf_internal,0.9225000000000001,45709019,TWN,21.0,Tainan,1.172.57.80,a_is_more_specific_than_b,0,1,a_is_more_specific_than_b;0,Pilot 3A,ZH-ZH
