Language,_id,question_no_1,question_no_2,question_no_3,question_no_4,question_no_5,changes,complexity,familiarity,link,passage,question_1,question_1_choice_1,question_1_choice_2,question_1_choice_3,question_1_difficulty,question_1_google_translate_error,question_1_relevant_portion_of_passage_if_applicable,question_2,question_2_choice_1,question_2_choice_2,question_2_choice_3,question_2_difficulty,question_2_google_translate_error,question_2_relevant_portion_of_passage_if_applicable,question_3,question_3_choice_1,question_3_choice_2,question_3_choice_3,question_3_difficulty,question_3_google_translate_error,question_3_relevant_portion_of_passage_if_applicable,question_4,question_4_choice_1,question_4_choice_2,question_4_choice_3,question_4_difficulty,question_4_google_translate_error,question_4_relevant_portion_of_passage_if_applicable,question_5,question_5_choice_1,question_5_choice_2,question_5_choice_3,question_5_difficulty,question_5_google_translate_error,question_5_relevant_portion_of_passage_if_applicable,register,test_,text_type,title,topic,_unit_id,_created_at,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,Answer_no_1,Answer_no_2,Answer_no_3,Answer_no_4,Answer_no_5,Score,Question 1 Skill tested,Question 2 Skill tested,Question 3 Skill tested,Question 4 Skill tested,Question 5 Skill tested,Grouping,Market
Turkish,5902352949,b,c,c,,,"verb conjugation has been changed to fit the register ""yeterli olacaktır"" -> ""yeterli"".",straightforward,familiar,https://www.kronotrop.com.tr/tr/online-magaza/kahveler/kahve-aboneligi,"Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.

Üyelik sayesinde; her seferinde sipariş vermekle uğraşmadan, kart numarası veya IBAN aramadan taze kavrulmuş kahveniz kapınıza geliyor, üstelik ücretsiz kargo kazanmış oluyorsunuz.

Süre uzadıkça değil, ağırlık arttırdıkça indiriminiz de artıyor. 500 g seçeneğinde bir kahve paketiniz 69 TL'ye; 750 g 66 TL'ye; 1 kg seçeneğinde ise 63 TL'ye düşüyor. Sonuç olarak indirim ve cabası ücretsiz kargo ile taze kavrulmuş kahveniz istediğiniz zaman kapınızda.

Eğer üyelik seçeneklerinizi (teslimat adresi, sevkiyat planı, kahve seçimi) değiştirmek isterseniz, hesabınızdan ilgili değişikliği yapmanız yeterli. Böylece elinizde hala kahveniz varsa önümüzdeki haftanın sevkiyatını bir sonraki haftaya atabilir ya da tam tersi durumda erkene çekebilirsiniz. Ruanda'dan sıkıldıysanız, Etiyopya'ya geçebilir ya da ""sürpriz""i seçerek, kahve seçimini bize bırakabilirsiniz.

Şimdiden afiyet olsun.
",Bu kahve aboneliğine hangi hizmet dahildir?,Sürpriz hediye.,Ücretsiz kargo.,500 g hediye kahve.,easy,no,,Abonelik seçeneklerinden hangisinde değişiklik yapılamaz?,Sevkiyat zamanı.,Kahve çekirdeğinin türü.,Kavrulma zamanı.,medium,no,Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.,Aşağıdakilerden hangisi bu aboneliğin avantajlı olmasının nedenlerinden biridir?,Kişinin kendine uygun ödeme şeklini seçebilmesi.,Kişinin uzun süreli abonelikte kahveyi daha uyguna alabilmesi.,Kişinin büyük miktarda kahve alıp istediği sürede tüketebilmesi.,hard,yes,,,,,,,,,,,,,,,,neutral,4,product description,Kahve Aboneliği,Shopping,2936097489,2021-01-21 00:07:05,2021-01-21 00:02:55,False,cf_internal,0.9625,46347584,TUR,16.0,Bursa,95.10.180.113,b,c,c,x,,3,initial understanding: finding key details,initial understanding: finding key details,synthesis and decision-making,0,,3A,TR-TR
Turkish,5902359926,b,c,b,,,"verb conjugation has been changed to fit the register ""yeterli olacaktır"" -> ""yeterli"".",straightforward,familiar,https://www.kronotrop.com.tr/tr/online-magaza/kahveler/kahve-aboneligi,"Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.

Üyelik sayesinde; her seferinde sipariş vermekle uğraşmadan, kart numarası veya IBAN aramadan taze kavrulmuş kahveniz kapınıza geliyor, üstelik ücretsiz kargo kazanmış oluyorsunuz.

Süre uzadıkça değil, ağırlık arttırdıkça indiriminiz de artıyor. 500 g seçeneğinde bir kahve paketiniz 69 TL'ye; 750 g 66 TL'ye; 1 kg seçeneğinde ise 63 TL'ye düşüyor. Sonuç olarak indirim ve cabası ücretsiz kargo ile taze kavrulmuş kahveniz istediğiniz zaman kapınızda.

Eğer üyelik seçeneklerinizi (teslimat adresi, sevkiyat planı, kahve seçimi) değiştirmek isterseniz, hesabınızdan ilgili değişikliği yapmanız yeterli. Böylece elinizde hala kahveniz varsa önümüzdeki haftanın sevkiyatını bir sonraki haftaya atabilir ya da tam tersi durumda erkene çekebilirsiniz. Ruanda'dan sıkıldıysanız, Etiyopya'ya geçebilir ya da ""sürpriz""i seçerek, kahve seçimini bize bırakabilirsiniz.

Şimdiden afiyet olsun.
",Bu kahve aboneliğine hangi hizmet dahildir?,Sürpriz hediye.,Ücretsiz kargo.,500 g hediye kahve.,easy,no,,Abonelik seçeneklerinden hangisinde değişiklik yapılamaz?,Sevkiyat zamanı.,Kahve çekirdeğinin türü.,Kavrulma zamanı.,medium,no,Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.,Aşağıdakilerden hangisi bu aboneliğin avantajlı olmasının nedenlerinden biridir?,Kişinin kendine uygun ödeme şeklini seçebilmesi.,Kişinin uzun süreli abonelikte kahveyi daha uyguna alabilmesi.,Kişinin büyük miktarda kahve alıp istediği sürede tüketebilmesi.,hard,yes,,,,,,,,,,,,,,,,neutral,4,product description,Kahve Aboneliği,Shopping,2936097489,2021-01-21 00:10:27,2021-01-21 00:08:00,False,cf_internal,0.95,46347598,TUR,68.0,Ankara,46.221.87.115,b,c,c,x,,2,initial understanding: finding key details,initial understanding: finding key details,synthesis and decision-making,0,,3A,TR-TR
Turkish,5902370632,b,c,c,,,"verb conjugation has been changed to fit the register ""yeterli olacaktır"" -> ""yeterli"".",straightforward,familiar,https://www.kronotrop.com.tr/tr/online-magaza/kahveler/kahve-aboneligi,"Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.

Üyelik sayesinde; her seferinde sipariş vermekle uğraşmadan, kart numarası veya IBAN aramadan taze kavrulmuş kahveniz kapınıza geliyor, üstelik ücretsiz kargo kazanmış oluyorsunuz.

Süre uzadıkça değil, ağırlık arttırdıkça indiriminiz de artıyor. 500 g seçeneğinde bir kahve paketiniz 69 TL'ye; 750 g 66 TL'ye; 1 kg seçeneğinde ise 63 TL'ye düşüyor. Sonuç olarak indirim ve cabası ücretsiz kargo ile taze kavrulmuş kahveniz istediğiniz zaman kapınızda.

Eğer üyelik seçeneklerinizi (teslimat adresi, sevkiyat planı, kahve seçimi) değiştirmek isterseniz, hesabınızdan ilgili değişikliği yapmanız yeterli. Böylece elinizde hala kahveniz varsa önümüzdeki haftanın sevkiyatını bir sonraki haftaya atabilir ya da tam tersi durumda erkene çekebilirsiniz. Ruanda'dan sıkıldıysanız, Etiyopya'ya geçebilir ya da ""sürpriz""i seçerek, kahve seçimini bize bırakabilirsiniz.

Şimdiden afiyet olsun.
",Bu kahve aboneliğine hangi hizmet dahildir?,Sürpriz hediye.,Ücretsiz kargo.,500 g hediye kahve.,easy,no,,Abonelik seçeneklerinden hangisinde değişiklik yapılamaz?,Sevkiyat zamanı.,Kahve çekirdeğinin türü.,Kavrulma zamanı.,medium,no,Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.,Aşağıdakilerden hangisi bu aboneliğin avantajlı olmasının nedenlerinden biridir?,Kişinin kendine uygun ödeme şeklini seçebilmesi.,Kişinin uzun süreli abonelikte kahveyi daha uyguna alabilmesi.,Kişinin büyük miktarda kahve alıp istediği sürede tüketebilmesi.,hard,yes,,,,,,,,,,,,,,,,neutral,4,product description,Kahve Aboneliği,Shopping,2936097489,2021-01-21 00:18:01,2021-01-21 00:14:09,False,cf_internal,0.93,46347616,TUR,34.0,Istanbul,24.133.140.60,b,c,c,x,,3,initial understanding: finding key details,initial understanding: finding key details,synthesis and decision-making,0,,3A,TR-TR
Turkish,5902376208,b,c,c,,,"verb conjugation has been changed to fit the register ""yeterli olacaktır"" -> ""yeterli"".",straightforward,familiar,https://www.kronotrop.com.tr/tr/online-magaza/kahveler/kahve-aboneligi,"Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.

Üyelik sayesinde; her seferinde sipariş vermekle uğraşmadan, kart numarası veya IBAN aramadan taze kavrulmuş kahveniz kapınıza geliyor, üstelik ücretsiz kargo kazanmış oluyorsunuz.

Süre uzadıkça değil, ağırlık arttırdıkça indiriminiz de artıyor. 500 g seçeneğinde bir kahve paketiniz 69 TL'ye; 750 g 66 TL'ye; 1 kg seçeneğinde ise 63 TL'ye düşüyor. Sonuç olarak indirim ve cabası ücretsiz kargo ile taze kavrulmuş kahveniz istediğiniz zaman kapınızda.

Eğer üyelik seçeneklerinizi (teslimat adresi, sevkiyat planı, kahve seçimi) değiştirmek isterseniz, hesabınızdan ilgili değişikliği yapmanız yeterli. Böylece elinizde hala kahveniz varsa önümüzdeki haftanın sevkiyatını bir sonraki haftaya atabilir ya da tam tersi durumda erkene çekebilirsiniz. Ruanda'dan sıkıldıysanız, Etiyopya'ya geçebilir ya da ""sürpriz""i seçerek, kahve seçimini bize bırakabilirsiniz.

Şimdiden afiyet olsun.
",Bu kahve aboneliğine hangi hizmet dahildir?,Sürpriz hediye.,Ücretsiz kargo.,500 g hediye kahve.,easy,no,,Abonelik seçeneklerinden hangisinde değişiklik yapılamaz?,Sevkiyat zamanı.,Kahve çekirdeğinin türü.,Kavrulma zamanı.,medium,no,Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.,Aşağıdakilerden hangisi bu aboneliğin avantajlı olmasının nedenlerinden biridir?,Kişinin kendine uygun ödeme şeklini seçebilmesi.,Kişinin uzun süreli abonelikte kahveyi daha uyguna alabilmesi.,Kişinin büyük miktarda kahve alıp istediği sürede tüketebilmesi.,hard,yes,,,,,,,,,,,,,,,,neutral,4,product description,Kahve Aboneliği,Shopping,2936097489,2021-01-21 00:22:16,2021-01-21 00:19:26,False,cf_internal,0.97,46347597,TUR,68.0,Ankara,85.98.147.46,b,c,c,x,,3,initial understanding: finding key details,initial understanding: finding key details,synthesis and decision-making,0,,3A,TR-TR
Turkish,5902377642,b,c,c,,,"verb conjugation has been changed to fit the register ""yeterli olacaktır"" -> ""yeterli"".",straightforward,familiar,https://www.kronotrop.com.tr/tr/online-magaza/kahveler/kahve-aboneligi,"Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.

Üyelik sayesinde; her seferinde sipariş vermekle uğraşmadan, kart numarası veya IBAN aramadan taze kavrulmuş kahveniz kapınıza geliyor, üstelik ücretsiz kargo kazanmış oluyorsunuz.

Süre uzadıkça değil, ağırlık arttırdıkça indiriminiz de artıyor. 500 g seçeneğinde bir kahve paketiniz 69 TL'ye; 750 g 66 TL'ye; 1 kg seçeneğinde ise 63 TL'ye düşüyor. Sonuç olarak indirim ve cabası ücretsiz kargo ile taze kavrulmuş kahveniz istediğiniz zaman kapınızda.

Eğer üyelik seçeneklerinizi (teslimat adresi, sevkiyat planı, kahve seçimi) değiştirmek isterseniz, hesabınızdan ilgili değişikliği yapmanız yeterli. Böylece elinizde hala kahveniz varsa önümüzdeki haftanın sevkiyatını bir sonraki haftaya atabilir ya da tam tersi durumda erkene çekebilirsiniz. Ruanda'dan sıkıldıysanız, Etiyopya'ya geçebilir ya da ""sürpriz""i seçerek, kahve seçimini bize bırakabilirsiniz.

Şimdiden afiyet olsun.
",Bu kahve aboneliğine hangi hizmet dahildir?,Sürpriz hediye.,Ücretsiz kargo.,500 g hediye kahve.,easy,no,,Abonelik seçeneklerinden hangisinde değişiklik yapılamaz?,Sevkiyat zamanı.,Kahve çekirdeğinin türü.,Kavrulma zamanı.,medium,no,Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.,Aşağıdakilerden hangisi bu aboneliğin avantajlı olmasının nedenlerinden biridir?,Kişinin kendine uygun ödeme şeklini seçebilmesi.,Kişinin uzun süreli abonelikte kahveyi daha uyguna alabilmesi.,Kişinin büyük miktarda kahve alıp istediği sürede tüketebilmesi.,hard,yes,,,,,,,,,,,,,,,,neutral,4,product description,Kahve Aboneliği,Shopping,2936097489,2021-01-21 00:23:21,2021-01-21 00:19:27,False,cf_internal,0.8857,45846777,TUR,7.0,Antalya,176.232.59.190,b,c,c,x,,3,initial understanding: finding key details,initial understanding: finding key details,synthesis and decision-making,0,,3A,TR-TR
Turkish,5902389054,b,c,c,,,"verb conjugation has been changed to fit the register ""yeterli olacaktır"" -> ""yeterli"".",straightforward,familiar,https://www.kronotrop.com.tr/tr/online-magaza/kahveler/kahve-aboneligi,"Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.

Üyelik sayesinde; her seferinde sipariş vermekle uğraşmadan, kart numarası veya IBAN aramadan taze kavrulmuş kahveniz kapınıza geliyor, üstelik ücretsiz kargo kazanmış oluyorsunuz.

Süre uzadıkça değil, ağırlık arttırdıkça indiriminiz de artıyor. 500 g seçeneğinde bir kahve paketiniz 69 TL'ye; 750 g 66 TL'ye; 1 kg seçeneğinde ise 63 TL'ye düşüyor. Sonuç olarak indirim ve cabası ücretsiz kargo ile taze kavrulmuş kahveniz istediğiniz zaman kapınızda.

Eğer üyelik seçeneklerinizi (teslimat adresi, sevkiyat planı, kahve seçimi) değiştirmek isterseniz, hesabınızdan ilgili değişikliği yapmanız yeterli. Böylece elinizde hala kahveniz varsa önümüzdeki haftanın sevkiyatını bir sonraki haftaya atabilir ya da tam tersi durumda erkene çekebilirsiniz. Ruanda'dan sıkıldıysanız, Etiyopya'ya geçebilir ya da ""sürpriz""i seçerek, kahve seçimini bize bırakabilirsiniz.

Şimdiden afiyet olsun.
",Bu kahve aboneliğine hangi hizmet dahildir?,Sürpriz hediye.,Ücretsiz kargo.,500 g hediye kahve.,easy,no,,Abonelik seçeneklerinden hangisinde değişiklik yapılamaz?,Sevkiyat zamanı.,Kahve çekirdeğinin türü.,Kavrulma zamanı.,medium,no,Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.,Aşağıdakilerden hangisi bu aboneliğin avantajlı olmasının nedenlerinden biridir?,Kişinin kendine uygun ödeme şeklini seçebilmesi.,Kişinin uzun süreli abonelikte kahveyi daha uyguna alabilmesi.,Kişinin büyük miktarda kahve alıp istediği sürede tüketebilmesi.,hard,yes,,,,,,,,,,,,,,,,neutral,4,product description,Kahve Aboneliği,Shopping,2936097489,2021-01-21 00:35:52,2021-01-21 00:31:38,False,cf_internal,0.9455,46304593,TUR,34.0,Istanbul,159.146.40.190,b,c,c,x,,3,initial understanding: finding key details,initial understanding: finding key details,synthesis and decision-making,0,,3A,TR-TR
Turkish,5902389564,b,c,b,,,"verb conjugation has been changed to fit the register ""yeterli olacaktır"" -> ""yeterli"".",straightforward,familiar,https://www.kronotrop.com.tr/tr/online-magaza/kahveler/kahve-aboneligi,"Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.

Üyelik sayesinde; her seferinde sipariş vermekle uğraşmadan, kart numarası veya IBAN aramadan taze kavrulmuş kahveniz kapınıza geliyor, üstelik ücretsiz kargo kazanmış oluyorsunuz.

Süre uzadıkça değil, ağırlık arttırdıkça indiriminiz de artıyor. 500 g seçeneğinde bir kahve paketiniz 69 TL'ye; 750 g 66 TL'ye; 1 kg seçeneğinde ise 63 TL'ye düşüyor. Sonuç olarak indirim ve cabası ücretsiz kargo ile taze kavrulmuş kahveniz istediğiniz zaman kapınızda.

Eğer üyelik seçeneklerinizi (teslimat adresi, sevkiyat planı, kahve seçimi) değiştirmek isterseniz, hesabınızdan ilgili değişikliği yapmanız yeterli. Böylece elinizde hala kahveniz varsa önümüzdeki haftanın sevkiyatını bir sonraki haftaya atabilir ya da tam tersi durumda erkene çekebilirsiniz. Ruanda'dan sıkıldıysanız, Etiyopya'ya geçebilir ya da ""sürpriz""i seçerek, kahve seçimini bize bırakabilirsiniz.

Şimdiden afiyet olsun.
",Bu kahve aboneliğine hangi hizmet dahildir?,Sürpriz hediye.,Ücretsiz kargo.,500 g hediye kahve.,easy,no,,Abonelik seçeneklerinden hangisinde değişiklik yapılamaz?,Sevkiyat zamanı.,Kahve çekirdeğinin türü.,Kavrulma zamanı.,medium,no,Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.,Aşağıdakilerden hangisi bu aboneliğin avantajlı olmasının nedenlerinden biridir?,Kişinin kendine uygun ödeme şeklini seçebilmesi.,Kişinin uzun süreli abonelikte kahveyi daha uyguna alabilmesi.,Kişinin büyük miktarda kahve alıp istediği sürede tüketebilmesi.,hard,yes,,,,,,,,,,,,,,,,neutral,4,product description,Kahve Aboneliği,Shopping,2936097489,2021-01-21 00:36:34,2021-01-21 00:32:55,False,cf_internal,0.8991,46347594,TUR,17.0,Çanakkale,78.190.238.224,b,c,c,x,,2,initial understanding: finding key details,initial understanding: finding key details,synthesis and decision-making,0,,3A,TR-TR
Turkish,5902394370,b,c,c,,,"verb conjugation has been changed to fit the register ""yeterli olacaktır"" -> ""yeterli"".",straightforward,familiar,https://www.kronotrop.com.tr/tr/online-magaza/kahveler/kahve-aboneligi,"Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.

Üyelik sayesinde; her seferinde sipariş vermekle uğraşmadan, kart numarası veya IBAN aramadan taze kavrulmuş kahveniz kapınıza geliyor, üstelik ücretsiz kargo kazanmış oluyorsunuz.

Süre uzadıkça değil, ağırlık arttırdıkça indiriminiz de artıyor. 500 g seçeneğinde bir kahve paketiniz 69 TL'ye; 750 g 66 TL'ye; 1 kg seçeneğinde ise 63 TL'ye düşüyor. Sonuç olarak indirim ve cabası ücretsiz kargo ile taze kavrulmuş kahveniz istediğiniz zaman kapınızda.

Eğer üyelik seçeneklerinizi (teslimat adresi, sevkiyat planı, kahve seçimi) değiştirmek isterseniz, hesabınızdan ilgili değişikliği yapmanız yeterli. Böylece elinizde hala kahveniz varsa önümüzdeki haftanın sevkiyatını bir sonraki haftaya atabilir ya da tam tersi durumda erkene çekebilirsiniz. Ruanda'dan sıkıldıysanız, Etiyopya'ya geçebilir ya da ""sürpriz""i seçerek, kahve seçimini bize bırakabilirsiniz.

Şimdiden afiyet olsun.
",Bu kahve aboneliğine hangi hizmet dahildir?,Sürpriz hediye.,Ücretsiz kargo.,500 g hediye kahve.,easy,no,,Abonelik seçeneklerinden hangisinde değişiklik yapılamaz?,Sevkiyat zamanı.,Kahve çekirdeğinin türü.,Kavrulma zamanı.,medium,no,Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.,Aşağıdakilerden hangisi bu aboneliğin avantajlı olmasının nedenlerinden biridir?,Kişinin kendine uygun ödeme şeklini seçebilmesi.,Kişinin uzun süreli abonelikte kahveyi daha uyguna alabilmesi.,Kişinin büyük miktarda kahve alıp istediği sürede tüketebilmesi.,hard,yes,,,,,,,,,,,,,,,,neutral,4,product description,Kahve Aboneliği,Shopping,2936097489,2021-01-21 00:44:26,2021-01-21 00:38:54,False,cf_internal,0.9125000000000001,45488677,TUR,52.0,Ordu,78.190.48.45,b,c,c,x,,3,initial understanding: finding key details,initial understanding: finding key details,synthesis and decision-making,0,,3A,TR-TR
Turkish,5902405842,b,c,a,,,"verb conjugation has been changed to fit the register ""yeterli olacaktır"" -> ""yeterli"".",straightforward,familiar,https://www.kronotrop.com.tr/tr/online-magaza/kahveler/kahve-aboneligi,"Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.

Üyelik sayesinde; her seferinde sipariş vermekle uğraşmadan, kart numarası veya IBAN aramadan taze kavrulmuş kahveniz kapınıza geliyor, üstelik ücretsiz kargo kazanmış oluyorsunuz.

Süre uzadıkça değil, ağırlık arttırdıkça indiriminiz de artıyor. 500 g seçeneğinde bir kahve paketiniz 69 TL'ye; 750 g 66 TL'ye; 1 kg seçeneğinde ise 63 TL'ye düşüyor. Sonuç olarak indirim ve cabası ücretsiz kargo ile taze kavrulmuş kahveniz istediğiniz zaman kapınızda.

Eğer üyelik seçeneklerinizi (teslimat adresi, sevkiyat planı, kahve seçimi) değiştirmek isterseniz, hesabınızdan ilgili değişikliği yapmanız yeterli. Böylece elinizde hala kahveniz varsa önümüzdeki haftanın sevkiyatını bir sonraki haftaya atabilir ya da tam tersi durumda erkene çekebilirsiniz. Ruanda'dan sıkıldıysanız, Etiyopya'ya geçebilir ya da ""sürpriz""i seçerek, kahve seçimini bize bırakabilirsiniz.

Şimdiden afiyet olsun.
",Bu kahve aboneliğine hangi hizmet dahildir?,Sürpriz hediye.,Ücretsiz kargo.,500 g hediye kahve.,easy,no,,Abonelik seçeneklerinden hangisinde değişiklik yapılamaz?,Sevkiyat zamanı.,Kahve çekirdeğinin türü.,Kavrulma zamanı.,medium,no,Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.,Aşağıdakilerden hangisi bu aboneliğin avantajlı olmasının nedenlerinden biridir?,Kişinin kendine uygun ödeme şeklini seçebilmesi.,Kişinin uzun süreli abonelikte kahveyi daha uyguna alabilmesi.,Kişinin büyük miktarda kahve alıp istediği sürede tüketebilmesi.,hard,yes,,,,,,,,,,,,,,,,neutral,4,product description,Kahve Aboneliği,Shopping,2936097489,2021-01-21 01:04:18,2021-01-21 01:01:15,False,cf_internal,0.9222,45815702,TUR,61.0,Trabzon,78.163.116.29,b,c,c,x,,2,initial understanding: finding key details,initial understanding: finding key details,synthesis and decision-making,0,,3A,TR-TR
Turkish,5902414522,b,c,c,,,"verb conjugation has been changed to fit the register ""yeterli olacaktır"" -> ""yeterli"".",straightforward,familiar,https://www.kronotrop.com.tr/tr/online-magaza/kahveler/kahve-aboneligi,"Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.

Üyelik sayesinde; her seferinde sipariş vermekle uğraşmadan, kart numarası veya IBAN aramadan taze kavrulmuş kahveniz kapınıza geliyor, üstelik ücretsiz kargo kazanmış oluyorsunuz.

Süre uzadıkça değil, ağırlık arttırdıkça indiriminiz de artıyor. 500 g seçeneğinde bir kahve paketiniz 69 TL'ye; 750 g 66 TL'ye; 1 kg seçeneğinde ise 63 TL'ye düşüyor. Sonuç olarak indirim ve cabası ücretsiz kargo ile taze kavrulmuş kahveniz istediğiniz zaman kapınızda.

Eğer üyelik seçeneklerinizi (teslimat adresi, sevkiyat planı, kahve seçimi) değiştirmek isterseniz, hesabınızdan ilgili değişikliği yapmanız yeterli. Böylece elinizde hala kahveniz varsa önümüzdeki haftanın sevkiyatını bir sonraki haftaya atabilir ya da tam tersi durumda erkene çekebilirsiniz. Ruanda'dan sıkıldıysanız, Etiyopya'ya geçebilir ya da ""sürpriz""i seçerek, kahve seçimini bize bırakabilirsiniz.

Şimdiden afiyet olsun.
",Bu kahve aboneliğine hangi hizmet dahildir?,Sürpriz hediye.,Ücretsiz kargo.,500 g hediye kahve.,easy,no,,Abonelik seçeneklerinden hangisinde değişiklik yapılamaz?,Sevkiyat zamanı.,Kahve çekirdeğinin türü.,Kavrulma zamanı.,medium,no,Kahveleri hafta başında kavurup çarşamba günü kargoya veriyoruz.,Aşağıdakilerden hangisi bu aboneliğin avantajlı olmasının nedenlerinden biridir?,Kişinin kendine uygun ödeme şeklini seçebilmesi.,Kişinin uzun süreli abonelikte kahveyi daha uyguna alabilmesi.,Kişinin büyük miktarda kahve alıp istediği sürede tüketebilmesi.,hard,yes,,,,,,,,,,,,,,,,neutral,4,product description,Kahve Aboneliği,Shopping,2936097489,2021-01-21 01:18:49,2021-01-21 01:15:54,False,cf_internal,0.9592,45816674,TUR,34.0,Istanbul,188.119.40.17,b,c,c,x,,3,initial understanding: finding key details,initial understanding: finding key details,synthesis and decision-making,0,,3A,TR-TR
