Language,_id,rater_answer,a_domain,a_register,b_domain,b_register,difficulty,familiarity,question_,section,wordphrase_a,wordphrase_a_translation,wordphrase_b,wordphrase_b_translation,_unit_id,_created_at,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,Answer,Score,Grouping,Market
Turkish,5902316914,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-20 23:46:29,2021-01-20 23:46:04,False,cf_internal,0.9875,46347584,TUR,16.0,Bursa,95.10.180.113,yes,1,3A,TR-TR
Turkish,5902329904,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-20 23:51:33,2021-01-20 23:50:51,False,cf_internal,0.9657,46347594,TUR,17.0,Çanakkale,78.190.238.224,yes,1,3A,TR-TR
Turkish,5902332581,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-20 23:53:24,2021-01-20 23:52:28,False,cf_internal,0.975,45846777,TUR,7.0,Antalya,176.232.59.190,yes,1,3A,TR-TR
Turkish,5902332827,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-20 23:53:34,2021-01-20 23:53:05,False,cf_internal,0.96,46347598,TUR,34.0,Istanbul,176.88.137.60,yes,1,3A,TR-TR
Turkish,5902334135,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-20 23:54:19,2021-01-20 23:54:10,False,cf_internal,0.965,46347597,TUR,68.0,Ankara,85.98.147.46,yes,1,3A,TR-TR
Turkish,5902345326,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-21 00:01:58,2021-01-21 00:01:20,False,cf_internal,0.9732000000000001,45488677,TUR,52.0,Ordu,78.190.48.45,yes,1,3A,TR-TR
Turkish,5902348545,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-21 00:03:57,2021-01-21 00:03:45,False,cf_internal,0.9714,46347616,TUR,34.0,Istanbul,24.133.140.60,yes,1,3A,TR-TR
Turkish,5902358309,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-21 00:09:34,2021-01-21 00:09:04,False,cf_internal,0.975,45816674,TUR,34.0,Istanbul,188.119.40.17,yes,1,3A,TR-TR
Turkish,5902361366,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-21 00:11:25,2021-01-21 00:11:06,False,cf_internal,0.9694,46304593,TUR,34.0,Istanbul,159.146.40.190,yes,1,3A,TR-TR
Turkish,5902396711,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-21 00:48:05,2021-01-21 00:47:31,False,cf_internal,0.975,45815702,TUR,61.0,Trabzon,78.163.116.29,yes,1,3A,TR-TR
Turkish,5902404118,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-21 01:00:47,2021-01-21 01:00:24,False,cf_internal,0.9769000000000001,45488822,TUR,35.0,Izmir,212.133.237.74,yes,1,3A,TR-TR
Turkish,5902405710,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-21 01:04:00,2021-01-21 01:03:17,False,cf_internal,0.974,46272333,TUR,68.0,Ankara,94.54.18.90,yes,1,3A,TR-TR
Turkish,5902407460,yes,literature,formal,literature,neutral,medium,familiar,2,Exact Match,öykü,story,hikaye,story,2936096530,2021-01-21 01:07:00,2021-01-21 01:06:42,False,cf_internal,0.975,45840527,TUR,68.0,Ankara,92.45.175.164,yes,1,3A,TR-TR
